aaaamon.dll,Aaaa Monitor DLL
ixsso.dll,Indexing Service Server-side Object
iyuv_32.dll,Intel Indeo(R) Video YUV Codec
jet500.dll,JET Engine DLL
jobexec.dll,Active Setup Job Executer
jscript.dll,Microsoft (R) JScript
jsproxy.dll,JScript Proxy Auto-Configuration,
KBDAL.DLL,Albania Keyboard Layout
kbd101.dll,JP Japanese Keyboard Layout for 101
kbd101a.dll,KO Hangeul Keyboard Layout for 101 (Type A)
kbd101b.dll,KO Hangeul Keyboard Layout for 101(Type B)
kbd101c.dll,KO Hangeul Keyboard Layout for 101(Type C)
kbd103.dll,KO Hangeul Keyboard Layout for 103
kbd106.dll,JP Japanese Keyboard Layout for 106
kbd106n.dll,JP Japanese Keyboard Layout for 106
kbda1.dll,Arabic_English_101 Keyboard Layout
kbda2.dll,Arabic_2 Keyboard Layout
kbda3.dll,Arabic_French_102 Keyboard Layout
kbdarme.dll,Eastern Armenian Keyboard Layout
kbdarmw.dll,Western Armenian Keyboard Layout
kbdax2.dll,JP Japanese Keyboard Layout for AX2
kbdaze.dll,Azerbaijan_Cyrillic Keyboard Layout
kbdazel.dll,Azeri-Latin Keyboard Layout
kbdbe.dll,Belgian Keyboard Layout
kbdbene.dll,Belgian Dutch Keyboard Layout
kbdbhc.dll,Bosnian (Cyrillic) Keyboard Layout
kbdblr.dll,Belarusian Keyboard Layout
kbdbr.dll,Brazilian Keyboard Layout
kbdbu.dll,Bulgarian Keyboard Layout
kbdca.dll,Canadian Multilingual Keyboard Layout
kbdcan.dll,Canadian National Standard Keyboard Layout
kbdcr.dll,Croatian/Slovenian Keyboard Layout
kbdcz.dll,Czech Keyboard Layout
kbdcz1.dll,Czech_101 Keyboard Layout
kbdcz2.dll,Czech_Programmer's Keyboard Layout
kbdda.dll,Danish Keyboard Layout
kbddiv1.dll,Divehi Phonetic Keyboard Layout
kbddiv2.dll,Divehi Typewriter Keyboard Layout
kbddv.dll,Dvorak US English Keyboard Layout
kbdes.dll,Spanish Alernate Keyboard Layout
kbdest.dll,Estonia Keyboard Layout
kbdfa.dll,Farsi Keyboard Layout
kbdfc.dll,Canadian French Keyboard Layout
kbdfi.dll,Finnish Keyboard Layout
kbdfi1.dll,Finnish-Swedish with Sami Keyboard Layout
kbdfo.dll,Færoese Keyboard Layout
kbdfr.dll,French Keyboard Layout
kbdgae.dll,Gaelic Keyboard Layout
kbdgeo.dll,Georgian Keyboard Layout
kbdgkl.dll,Greek_Latin Keyboard Layout
kbdgr.dll,German Keyboard Layout
kbdgr1.dll,German_IBM Keyboard Layout
kbdhe.dll,Greek Keyboard Layout
kbdhe220.dll,Greek IBM 220 Keyboard Layout
kbdhe319.dll,Greek IBM 319 Keyboard Layout
kbdheb.dll,KBDHEB Keyboard Layout
kbdhela2.dll,Greek IBM 220 Latin Keyboard Layout
kbdhela3.dll,Greek IBM 319 Latin Keyboard Layout
kbdhept.dll,Greek_Polytonic Keyboard Layout
kbdhu.dll,Hungarian Keyboard Layout
kbdhu1.dll,Hungarian 101-key Keyboard Layout
kbdibm02.dll,JP Japanese Keyboard Layout for IBM 5576-002/003
kbdic.dll,Icelandic Keyboard Layout
kbdinbe1.dll,Bengali (Inscript) Keyboard Layout
kbdinben.dll,Bengali Keyboard Layout
kbdindev.dll,Devanagari Keyboard Layout
kbdinguj.dll,Gujarati Keyboard Layout
kbdinhin.dll,Hindi Keyboard Layout
kbdinkan.dll,Kannada Keyboard Layout
kbdinmal.dll,Malayalam Keyboard Layout Keyboard Layout
kbdinmar.dll,Marathi Keyboard Layout
kbdinpun.dll,Punjabi/Gurmukhi Keyboard Layout
kbdintam.dll,Tamil Keyboard Layout
kbdintel.dll,Telugu Keyboard Layout
kbdir.dll,Irish Keyboard Layout
kbdit.dll,Italian Keyboard Layout
kbdit142.dll,Italian 142 Keyboard Layout
kbdiultn.dll,Inuktitut Latin Keyboard Layout
kbdjpn.dll,JP Japanese Keyboard Layout Stub driver
kbdkaz.dll,Kazak_Cyrillic Keyboard Layout
kbdkor.dll,KO Hangeul Keyboard Layout Stub driver
kbdkyr.dll,Kyrgyz Keyboard Layout
kbdla.dll,Latin-American Spanish Keyboard Layout
kbdlk41a.dll,DEC LK411-AJ Keyboard Layout
kbdlk41j.dll,DEC LK411-JJ Keyboard Layout
kbdlt.dll,Lithuania Keyboard Layout
kbdlt1.dll,Lithuanian Keyboard Layout
kbdlv.dll,Latvia Keyboard Layout
kbdlv1.dll,Latvia-QWERTY Keyboard Layout
kbdmac.dll,FYROMacedonian_Cyrillic Keyboard Layout
kbdmaori.dll,Maori Keyboard Layout
kbdmlt47.dll,Maltese 47-key Keyboard Layout
kbdmlt48.dll,Maltese 48-key Keyboard Layout
kbdmon.dll,Mongolian Keyboard Layout
kbdne.dll,Dutch Keyboard Layout
kbdnec.dll,JP Japanese Keyboard Layout for (NEC PC-9800)
kbdnec95.dll,JP Japanese Keyboard Layout for (NEC PC-9800 Windows 95)
kbdnecAT.dll,JP Japanese Keyboard Layout for (NEC PC-9800 on PC98-NX)
kbdnecNT.dll,JP Japanese Keyboard Layout for (NEC PC-9800 Windows XP)
kbdnepr.dll,Nepali Keyboard Layout
kbdno.dll,Norwegian Keyboard Layout
kbdno1.dll,Norwegian with Sami Keyboard Layout
kbdpash.dll,Pashto (Afghanistan) Keyboard Layout
kbdpl.dll,Polish Keyboard Layout
kbdpl1.dll,Polish Programmer's Keyboard Layout
kbdpo.dll,Portuguese Keyboard Layout
kbdro.dll,Romanian Keyboard Layout
kbdru.dll,Russian Keyboard Layout
kbdru1.dll,Russia(Typewriter) Keyboard Layout
kbdsf.dll,Swiss French Keyboard Layout
kbdsg.dll,Swiss German Keyboard Layout
kbdsl.dll,Slovak Keyboard Layout
kbdsl1.dll,Slovak(QWERTY) Keyboard Layout
kbdsmsfi.dll,Sami Extended Finland-Sweden Keyboard Layout
kbdsmsno.dll,Sami Extended Norway Keyboard Layout
kbdsp.dll,Spanish Keyboard Layout
kbdsw.dll,Swedish Keyboard Layout
kbdsyr1.dll,Syriac Standard Keyboard Layout
kbdsyr2.dll,Syriac Phoenetic Keyboard Layout
kbdtat.dll,Tatar_Cyrillic Keyboard Layout
kbdth0.dll,Thai Kedmanee Keyboard Layout
kbdth1.dll,Thai Pattachote Keyboard Layout
kbdth2.dll,Thai Kedmanee (non-ShiftLock) Keyboard Layout
