dhcpcsvc.dll,DHCP Client Service
dhcpcsvc6.dll,DHCPv6 Client
dhcpsapi.dll,DHCP Server API Stub DLL
diagperf.dll,Microsoft Performance Diagnostics
difxapi.dll,Driver Install Frameworks for API library module
dimsjob.dll,DIMS Job DLL
dimsroam.dll,Key Roaming DIMS Provider DLL
dinput.dll,Microsoft DirectInput
dinput8.dll,Microsoft DirectInput
diskcopy.dll,Windows DiskCopy
dispci.dll,Microsoft Display Class Installer
dispex.dll,Microsoft ® DispEx
dmband.dll,Microsoft DirectMusic Band
dmcompos.dll,Microsoft DirectMusic Composer
dmdlgs.dll,Disk Management Snap-in Dialogs
dmdskmgr.dll,Disk Management Snap-in Support Library
dmdskres.dll,Disk Management Snap-in Resources
dmdskres2.dll,Disk Management Snap-in Resources
dmime.dll,Microsoft DirectMusic Interactive Engine
dmintf.dll,Disk Management DCOM Interface Stub
dmloader.dll,Microsoft DirectMusic Loader
dmocx.dll,TreeView OCX
dmrc.dll,Windows MRC
dmscript.dll,Microsoft DirectMusic Scripting
dmstyle.dll,Microsoft DirectMusic Style Engline
dmsynth.dll,Microsoft DirectMusic Software Synthesizer
dmusic.dll,Microsoft DirectMusic Core Services
dmutil.dll,Logical Disk Manager Utility Library
dmvdsitf.dll,Disk Management Snap-in Support Library
dnsapi.dll,DNS Client API DLL
dnscmmc.dll,DNS Client MMC Snap-in DLL
dnsext.dll,DNS extension DLL
dnshc.dll,DNS Helper Class
dnsrslvr.dll,DNS Caching Resolver Service
docprop.dll,OLE DocFile Property Page
dot3api.dll,802.3 Autoconfiguration API
dot3cfg.dll,802.3 Netsh Helper
dot3dlg.dll,802.3 UI Helper
dot3gpclnt.dll,802.3 Group Policy Client
dot3gpui.dll,802.3 Network Policy Management Snap-in
dot3hc.dll,Dot3 Helper Class
dot3msm.dll,802.3 Media Specific Module
dot3svc.dll,Wired AutoConfig Service
dot3ui.dll,802.3 Advanced UI
dpapiprovider.dll,dpapiprovider DLL
dplayx.dll,Microsoft DirectPlay
dpmodemx.dll,Modem and Serial Connection For DirectPlay
dpnaddr.dll,Microsoft DirectPlay8 Address
